system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Blu Thua XM-P b33-1,Blu Thua XM-P b33-1 A,Star,M,3045.0,333019840.0,9.212128,0.347656,M,Va
Blu Thua EE-M b35-3,Blu Thua EE-M b35-3,Star,M,2462.0,287683296.0,10.453186,0.273438,M,Va
Blu Thua JO-P c19-3,Blu Thua JO-P c19-3 A,Star,K,3902.0,502267776.0,7.24231,0.558594,K,Va
Blu Thua UU-G d10-28,Blu Thua UU-G d10-28 A,Star,K,4083.0,493841472.0,7.082138,0.542969,K,Va
Blu Thua VG-K c22-12,Blu Thua VG-K c22-12 A,Star,K,3982.0,501503712.0,7.157471,0.609375,K,Va
Blu Thua CT-G c24-11,Blu Thua CT-G c24-11,Star,K,4223.0,570697088.0,6.621506,0.691406,K,Va
Blu Thua TP-G b52-0,Blu Thua TP-G b52-0,Star,M,2477.0,281867648.0,10.471161,0.238281,M,Va
Blu Thua GI-B b55-2,Blu Thua GI-B b55-2,Star,M,3061.0,411382432.0,8.730377,0.402344,M,Va
Blu Thua SV-V b57-3,Blu Thua SV-V b57-3 A,Star,M,3187.0,420212032.0,8.509033,0.414063,M,Va
Smojai BF-A d8,Smojai BF-A d8,Star,F,7160.0,869778240.0,3.412766,1.238281,F,Vb
Smojai WI-S b4-1,Smojai WI-S b4-1,Star,M,2717.0,315954976.0,9.821472,0.28125,M,Va
Smojai GB-N b7-1,Smojai GB-N b7-1,Star,M,2482.0,320051392.0,10.186478,0.296875,M,Va
Smojai VO-R c4-12,Smojai VO-R c4-12,Star,K,4186.0,539114304.0,6.783371,0.632813,K,Va
Smojai HN-A b14-1,Smojai HN-A b14-1,Star,M,2966.0,421230848.0,8.815948,0.390625,M,Va
Smojai RF-V b16-1,Smojai RF-V b16-1 A,Star,M,2660.0,324996800.0,9.85228,0.335938,M,Va
Smojai DT-P b19-1,Smojai DT-P b19-1 A,Star,M,2333.0,287534720.0,10.688095,0.261719,M,Va
Smojai OL-K b22-2,Smojai OL-K b22-2,Star,M,2712.0,319966496.0,9.802094,0.285156,M,Va
Smojai DK-D b26-1,Smojai DK-D b26-1 A,Star,M,2991.0,338389792.0,9.255096,0.351563,M,Va
Smojai NC-Y b28-3,Smojai NC-Y b28-3 B,Star,T,1122.0,145985360.0,15.340393,0.078125,T,V
Smojai NC-Y b28-3,Smojai NC-Y b28-3 A,Star,M,2383.0,291036832.0,10.569687,0.273438,M,Va
Smojai EW-Q b32-3,Smojai EW-Q b32-3,Star,M,2396.0,308844608.0,10.417068,0.285156,M,Va
Smojue BT-S c17-1,Smojue BT-S c17-1,Star,M,3467.0,405312096.0,8.221619,0.449219,M,Va
Smojue NE-G b38-2,Smojue NE-G b38-2 A,Star,M,2679.0,320730592.0,9.850082,0.332031,M,Va
Smojue ZR-A b41-1,Smojue ZR-A b41-1 A,Star,M,2923.0,379120480.0,9.108139,0.382813,M,Va
Smojue RM-L c21-4,Smojue RM-L c21-4 A,Star,K,4838.0,600114944.0,5.921738,0.890625,K,Va
Smojue YY-H c23-11,Smojue YY-H c23-11,Star,K,4194.0,539071872.0,6.775269,0.574219,K,Va
Smojue LW-I b50-2,Smojue LW-I b50-2 A,Star,M,2849.0,357025280.0,9.34996,0.328125,M,Va
Smojue UO-D b53-1,Smojue UO-D b53-1,Star,M,3251.0,441500672.0,8.315308,0.417969,M,Va
Smojue UO-Z d13-34,Smojue UO-Z d13-34 B,Star,M,3118.0,397840928.0,8.722931,0.40625,M,Va
Smojue UO-Z d13-34,Smojue UO-Z d13-34 A,Star,G,5916.0,597228352.0,5.058395,0.921875,G,Vb
Smojue UO-Z d13-34,Smojue UO-Z d13-34 C,Star,M,3173.0,380818496.0,8.741959,0.40625,M,Va
Traikaae ZA-A c1,Traikaae ZA-A c1,Star,K,4989.0,621467264.0,5.712311,0.835938,K,Va
Traikaae CH-Y c10,Traikaae CH-Y c10,Star,K,3877.0,434411520.0,7.585495,0.46875,K,Va
Bleia Dryiae VJ-C c2-9,Bleia Dryiae VJ-C c2-9,Star,G,5271.0,549726848.0,5.739853,0.746094,G,Vab
NGC 6530 Sector XO-A d96,NGC 6530 Sector XO-A d96 A,Star,F,6932.0,718720128.0,3.967667,1.214844,F,VI
Thor's Eye,Thor's Eye A,Star,O,93340.0,11609422848.0,-13.36554,87.730469,O,V
Thor's Eye,Thor's Eye B,Star,H,0.0,55150.820313,20.0,18.695313,H,VII
HD 315030,HD 315030,Star,A,8611.0,1067976960.0,2.165405,1.9375,A,V
HD 315030,HD 315030 2,Star,Y,347.0,44190396.0,23.06102,0.011719,Y,V
NGC 6530 Sector FB-X d1-53,NGC 6530 Sector FB-X d1-53 A,Star,F,7145.0,1002285696.0,3.113892,1.574219,F,Vab
NGC 6530 CDZ 310,NGC 6530 CDZ 310 A,Star,F,6725.0,809138496.0,3.842056,1.296875,F,V
Lagoon Sector FM-V c2-7,Lagoon Sector FM-V c2-7,Star,G,5283.0,614462976.0,5.48819,0.890625,G,Vab
Traikaae KV-G c10-8,Traikaae KV-G c10-8,Star,G,5257.0,599605504.0,5.562759,0.804688,G,Vab
Traikaae BK-R d4-63,Traikaae BK-R d4-63 A,Star,F,6751.0,960387584.0,3.453033,1.5,F,Vab
Traikaae CK-H c10-1,Traikaae CK-H c10-1,Star,G,5480.0,578614016.0,5.459732,0.859375,G,Vab
Traikaae DV-F c11-12,Traikaae DV-F c11-12,Star,G,5499.0,576682560.0,5.451935,0.84375,G,Vab
Traikaae AA-Q d5-58,Traikaae AA-Q d5-58 A,Star,A,8029.0,924326400.0,2.783035,1.46875,A,VI
Traikaae XE-Q d5-12,Traikaae XE-Q d5-12,Star,F,6693.0,921673280.0,3.57988,1.402344,F,Vab
Traikaae VJ-Q d5-31,Traikaae VJ-Q d5-31 A,Star,F,6325.0,728929280.0,4.335114,1.054688,F,Vb
Traikaae TO-Q d5-4,Traikaae TO-Q d5-4,Star,F,7191.0,842843712.0,3.462326,1.460938,F,Vb
Traikaae SO-Q d5-13,Traikaae SO-Q d5-13,Star,F,6862.0,728165184.0,3.983398,1.273438,F,VI
Traikaae QT-Q d5-12,Traikaae QT-Q d5-12 A,Star,A,8009.0,950136000.0,2.73407,1.671875,A,VI
Traikaae NY-Q d5-14,Traikaae NY-Q d5-14,Star,F,7318.0,815378560.0,3.458221,1.378906,F,VI
Traikaae LD-R d5-11,Traikaae LD-R d5-11,Star,G,5465.0,745208832.0,4.922012,1.074219,G,Va
Traikaae PJ-P d6-9,Traikaae PJ-P d6-9,Star,F,6125.0,777513280.0,4.334549,1.226563,F,Vb
Traikaae NO-P d6-3,Traikaae NO-P d6-3 A,Star,A,7641.0,915602944.0,3.018799,1.472656,A,Vb
Traikaae KT-P d6-5,Traikaae KT-P d6-5 A,Star,A,8695.0,1015636224.0,2.232254,1.78125,A,Vb
Traikaae KT-P d6-10,Traikaae KT-P d6-10 A,Star,F,7337.0,872813440.0,3.299133,1.625,F,Vb
Traikaae KT-P d6-0,Traikaae KT-P d6-0 A,Star,A,8016.0,923371328.0,2.792328,1.578125,A,VI
Traikaae QU-N d7-4,Traikaae QU-N d7-4,Star,A,7576.0,899620544.0,3.094162,1.398438,A,Vb
Traikaae RP-N d7-7,Traikaae RP-N d7-7 A,Star,G,5703.0,858465280.0,4.429535,1.214844,G,Va
Traikaae VV-L d8-16,Traikaae VV-L d8-16,Star,F,6644.0,737652800.0,4.095535,1.105469,F,Vb
Traikaae BX-J d9-23,Traikaae BX-J d9-23 A,Star,A,8029.0,921885504.0,2.788788,1.695313,A,VI
Traikaae BX-J d9-23,Traikaae BX-J d9-23 B,Star,G,5538.0,670157312.0,5.094971,0.964844,G,Vab
Traikaae DS-J d9-8,Traikaae DS-J d9-8 A,Star,F,7050.0,980827328.0,3.21904,1.496094,F,Vab
Traikaae FN-J d9-2,Traikaae FN-J d9-2 A,Star,A,7812.0,1073686592.0,2.576736,1.773438,A,Vb
Traikaae KO-H d10-52,Traikaae KO-H d10-52 A,Star,A,7513.0,812449536.0,3.351807,1.328125,A,VI
Traikaae KO-H d10-54,Traikaae KO-H d10-54 A,Star,F,7013.0,816312512.0,3.640671,1.390625,F,Vb
Traikaae QP-F d11-71,Traikaae QP-F d11-71,Star,F,7107.0,1009926656.0,3.120544,1.632813,F,Vab
Traikaae SK-F d11-73,Traikaae SK-F d11-73,Star,A,8523.0,986642944.0,2.381973,1.707031,A,VI
Traikaae RK-F d11-50,Traikaae RK-F d11-50 A,Star,A,7893.0,797358592.0,3.178177,1.4375,A,VI
Traikaae UX-G c24-15,Traikaae UX-G c24-15 A,Star,G,5657.0,655130048.0,5.05188,0.84375,G,Vab
Traikaae ZG-D d12-20,Traikaae ZG-D d12-20,Star,F,7455.0,930227008.0,3.091431,1.582031,F,Vb
Traikaae DN-B d13-18,Traikaae DN-B d13-18,Star,G,5640.0,746928064.0,4.780075,1.121094,G,Vab
Traikaae DN-B d13-36,Traikaae DN-B d13-36 A,Star,N,5290091.0,10710.9375,4.860764,0.828125,N,VII
PW2010 210,PW2010 210 A,Star,B,30381.0,3668524544.0,-5.989258,14.597656,B,V
PW2010 210,PW2010 210 B,Star,A_BlueWhiteSuperGiant,7583.0,32841953280.0,-4.723572,4.648438,A_BlueWhiteSuperGiant,Iab
PW2010 210,PW2010 210 A 4,Star,Y,583.0,70190992.0,20.273972,0.023438,Y,V
PW2010 210,PW2010 210 A 2,Star,Y,630.0,80400200.0,19.521851,0.03125,Y,V
PW2010 210,PW2010 210 A 5,Star,Y,340.0,45570020.0,22.670792,0.011719,Y,V
Omega Sector LC-V c2-75,Omega Sector LC-V c2-75 A,Star,K,3730.0,426091392.0,7.79541,0.492188,K,Va
Omega Sector VE-Q b5-15,Omega Sector VE-Q b5-15,Star,M,3630.0,382304224.0,8.148972,0.445313,M,Va
Omega Sector BA-A e42,Omega Sector BA-A e42 A,Star,N,4399741.0,8886.71875,4.699112,1.464844,N,VII
Gria Drye UD-V c5-41,Gria Drye UD-V c5-41,Star,K,4862.0,693780736.0,5.585251,0.855469,K,Va
Gria Drye YE-L b14-8,Gria Drye YE-L b14-8 A,Star,M,2116.0,276306720.0,11.198715,0.199219,M,VI
Gria Drye OD-E b18-6,Gria Drye OD-E b18-6 A,Star,M,3109.0,333550464.0,9.118286,0.339844,M,Va
Gria Drye OI-M c10-4,Gria Drye OI-M c10-4 A,Star,K,4810.0,609262912.0,5.914093,0.792969,K,Va
Gria Drye RU-R b24-8,Gria Drye RU-R b24-8,Star,M,2107.0,256949536.0,11.374969,0.222656,M,VI
Gria Drye HT-K b28-10,Gria Drye HT-K b28-10 A,Star,M,3580.0,400409120.0,8.108734,0.417969,M,Va
Gria Drye ZM-D b32-15,Gria Drye ZM-D b32-15,Star,M,2298.0,275309120.0,10.848129,0.265625,M,Va
Gria Drye QT-O d7-94,Gria Drye QT-O d7-94 A,Star,A,8664.0,1068825984.0,2.136932,1.71875,A,Vb
Gria Drye IH-U e3-11,Gria Drye IH-U e3-11,Star,A,9576.0,1154956928.0,1.533813,1.960938,A,Vz
Gria Drye SZ-M d8-154,Gria Drye SZ-M d8-154 A,Star,F,6853.0,818180288.0,3.735947,1.519531,F,Vb
Gria Drye SZ-M d8-154,Gria Drye SZ-M d8-154 B,Star,M,3535.0,422037408.0,8.049438,0.507813,M,Va
Gria Drye SZ-M d8-154,Gria Drye SZ-M d8-154 C,Star,K,4726.0,596740160.0,6.035736,0.828125,K,Va
Gria Drye RZ-M d8-190,Gria Drye RZ-M d8-190,Star,A,7752.0,912610240.0,2.963272,1.5,A,VI
Gria Drye SZ-M d8-118,Gria Drye SZ-M d8-118,Star,N,2945055.0,11582.03125,4.580688,0.652344,N,VII
Gria Drye DB-U d4-87,Gria Drye DB-U d4-87,Star,N,2274273.0,12128.90625,5.07724,0.566406,N,VII
Gria Drye QI-Z d1-183,Gria Drye QI-Z d1-183,Star,N,3169182.0,10753.90625,4.450516,0.816406,N,VII
Blae Drye PK-C d14-150,Blae Drye PK-C d14-150,Star,N,8305252.0,10531.249023,4.424927,0.875,N,VII
Omega Sector PD-S b4-0,Omega Sector PD-S b4-0,Star,M,3552.0,384957376.0,8.228317,0.421875,M,Va
LP 710-47,LP 710-47 A,Star,DC,6274.0,5560943.0,14.955353,1.046875,DC,VII
Arietis Sector LN-S b4-5,Arietis Sector LN-S b4-5 A,Star,M,2221.0,282207264.0,10.942413,0.214844,M,Va
Tascheter Sector AA-Z b4,Tascheter Sector AA-Z b4 A,Star,M,2610.0,288787008.0,10.191284,0.261719,M,Va
Pleiades Sector CB-N b7-0,Pleiades Sector CB-N b7-0 A,Star,M,3345.0,372795424.0,8.558884,0.367188,M,Va
HR 1183,HR 1183 A,Star,B,12158.0,1405539072.0,1.10968,3.195313,B,V
Maia,Maia A 3,Star,T,1219.0,144138800.0,15.007828,0.078125,T,V
Smootoae GZ-O b19-8,Smootoae GZ-O b19-8 A,Star,M,2648.0,342698432.0,9.756744,0.335938,M,Va
Smootoae GZ-O b19-8,Smootoae GZ-O b19-8 B,Star,L,1514.0,176209728.0,13.630035,0.109375,L,V
Smootiae XN-L b21-14,Smootiae XN-L b21-14,Star,M,2850.0,343865792.0,9.430008,0.375,M,Va
Smootiae GG-G b24-14,Smootiae GG-G b24-14,Star,M,3386.0,406734176.0,8.316711,0.417969,M,Va
Smootiae LS-C b26-9,Smootiae LS-C b26-9 B,Star,L,1820.0,222076896.0,12.327896,0.144531,L,V
Smootiae LS-C b26-9,Smootiae LS-C b26-9 A,Star,M,2595.0,367871264.0,9.690628,0.332031,M,Va
Smootiae LS-C b26-9,Smootiae LS-C b26-9 C,Star,L,1625.0,199684544.0,13.051071,0.15625,L,V
Smootiae HZ-W a56-0,Smootiae HZ-W a56-0,Star,Y,645.0,75030280.0,19.19101,0.027344,Y,Vz
Smootiae VQ-V b29-5,Smootiae VQ-V b29-5 A,Star,M,3085.0,377040448.0,8.885773,0.367188,M,Va
Smootiae VQ-V b29-5,Smootiae VQ-V b29-5 B,Star,M,2217.0,254614784.0,11.173798,0.222656,M,Va
Kurians,Kurians,Star,TTS,4513.0,644453888.0,6.068985,0.773438,TTS,Va
Clooku WO-Z e6445,Clooku WO-Z e6445 A,Star,N,2083630.0,7570.3125,4.824371,2.382813,N,VII
Clooku WO-Z e6445,Clooku WO-Z e6445 B,Star,G,5463.0,634838976.0,5.27179,0.996094,G,Vab
Clooku HH-S d5-1166,Clooku HH-S d5-1166,Star,F,6802.0,823550208.0,3.754196,1.351563,F,Vb
Clooku HH-S d5-1166,Clooku HH-S d5-1166 6,Star,Y,391.0,44890820.0,23.267502,0.011719,Y,V
Clooku HH-S d5-1166,Clooku HH-S d5-1166 8,Star,Y,397.0,55588208.0,21.511887,0.015625,Y,V
Clooku HH-S d5-1166,Clooku HH-S d5-1166 9,Star,Y,357.0,43341400.0,22.944855,0.011719,Y,V
Clooku MN-Q d6-1202,Clooku MN-Q d6-1202,Star,F,7483.0,949095936.0,3.03154,1.417969,F,Vb
Clooku GN-D c15-316,Clooku GN-D c15-316,Star,K,4826.0,522622528.0,6.232849,0.679688,K,Vab
Clooku DE-A b34-8,Clooku DE-A b34-8 A,Star,M,2020.0,277728800.0,11.389236,0.203125,M,VI
Clooku DE-A b34-8,Clooku DE-A b34-8 B,Star,T,994.0,113277688.0,16.417542,0.054688,T,V
Clooku ZF-L d9-111,Clooku ZF-L d9-111,Star,F,6673.0,834841920.0,3.807816,1.257813,F,Vb
Clooku IV-N b40-250,Clooku IV-N b40-250,Star,M,3019.0,377804544.0,8.975342,0.363281,M,Va
Clooku ZT-G b44-1,Clooku ZT-G b44-1,Star,M,3228.0,349002272.0,8.856766,0.375,M,Va
Clooku HS-H d11-1038,Clooku HS-H d11-1038,Star,N,5386415.0,11687.5,4.670258,0.636719,N,VII
Blua Hypue AE-E d13-570,Blua Hypue AE-E d13-570 A,Star,A,7631.0,825333120.0,3.249924,1.433594,A,VI
Blua Hypue AE-E d13-570,Blua Hypue AE-E d13-570 B,Star,M,3569.0,425857888.0,7.988281,0.539063,M,Va
Blua Hypue AE-E d13-694,Blua Hypue AE-E d13-694 A,Star,N,7969009.0,12015.624023,5.080673,0.585938,N,VII
Blua Hypue AE-E d13-694,Blua Hypue AE-E d13-694 C,Star,L,1306.0,179563280.0,14.231064,0.109375,L,V
Blua Hypue AE-E d13-694,Blua Hypue AE-E d13-694 B,Star,M,2443.0,332998624.0,10.169128,0.28125,M,Va
Gru Hypue XL-X b7-25,Gru Hypue XL-X b7-25 A,Star,M,2638.0,340766944.0,9.785446,0.277344,M,Va
Gru Hypue XL-X b7-25,Gru Hypue XL-X b7-25 B,Star,L,1698.0,227043552.0,12.581284,0.164063,L,V
Gru Hypue XL-X b7-25,Gru Hypue XL-X b7-25 C,Star,M,2313.0,280657824.0,10.778091,0.246094,M,Va
Gru Hypue KO-X d2-274,Gru Hypue KO-X d2-274,Star,G,5859.0,776367104.0,4.530624,1.054688,G,Vab
Gru Hypue CD-L b14-12,Gru Hypue CD-L b14-12 A,Star,M,2151.0,260536544.0,11.255081,0.226563,M,VI
Gru Hypue CD-L b14-12,Gru Hypue CD-L b14-12 B,Star,T,893.0,114869560.0,16.852676,0.050781,T,V
Gru Hypue PV-F b17-17,Gru Hypue PV-F b17-17,Star,M,3539.0,371437056.0,8.321899,0.425781,M,Va
Gru Hypue HU-Y b20-13,Gru Hypue HU-Y b20-13 A,Star,M,2158.0,256885856.0,11.271622,0.234375,M,VI
Gru Hypue HU-Y b20-13,Gru Hypue HU-Y b20-13 C,Star,T,794.0,94175216.0,17.794525,0.046875,T,V
Gru Hypue HU-Y b20-13,Gru Hypue HU-Y b20-13 B,Star,L,1481.0,165682144.0,13.859558,0.101563,L,V
Gru Hypue YG-S d5-1001,Gru Hypue YG-S d5-1001,Star,A,8085.0,852182784.0,2.929367,1.550781,A,VI
Gru Hypue FA-H c13-121,Gru Hypue FA-H c13-121 A,Star,K,5074.0,534381184.0,5.966812,0.707031,K,Vab
Gru Hypue FA-H c13-121,Gru Hypue FA-H c13-121 B,Star,M,2712.0,334484352.0,9.705673,0.339844,M,Va
Gru Hypue LR-D c15-61,Gru Hypue LR-D c15-61,Star,K,4867.0,514832960.0,6.228683,0.671875,K,Vab
Gru Hypue NW-B b33-40,Gru Hypue NW-B b33-40,Star,M,3526.0,392152608.0,8.220032,0.425781,M,Va
Gru Hypue CA-V b36-87,Gru Hypue CA-V b36-87,Star,M,3194.0,347007104.0,8.915237,0.355469,M,Va
Gru Hypue PF-L d9-1003,Gru Hypue PF-L d9-1003 A,Star,N,4538375.0,12304.6875,5.21666,0.542969,N,VII
Gru Hypue PF-L d9-1003,Gru Hypue PF-L d9-1003 B,Star,M,2169.0,277834912.0,11.079254,0.207031,M,VI
Gru Hypue DY-F d12-1065,Gru Hypue DY-F d12-1065 A,Star,N,1339113.0,11906.25,5.246277,0.597656,N,VII
Gru Hypue DY-F d12-1065,Gru Hypue DY-F d12-1065 B,Star,M,3120.0,420551648.0,8.599564,0.417969,M,Va
Gru Hypue DY-F d12-1065,Gru Hypue DY-F d12-1065 C,Star,L,1835.0,214478352.0,12.367874,0.152344,L,V
Floalt IZ-C b5-11,Floalt IZ-C b5-11,Star,M,3422.0,412655936.0,8.23938,0.441406,M,Va
Floalt MI-Z d1-1829,Floalt MI-Z d1-1829 A,Star,N,6541827.0,11226.5625,4.956802,0.714844,N,VII
Floalt MI-Z d1-1829,Floalt MI-Z d1-1829 B,Star,M,2074.0,291694816.0,11.168091,0.214844,M,VI
Floalt ZA-U d4-2234,Floalt ZA-U d4-2234 A,Star,N,6750003.0,11582.03125,5.235718,0.648438,N,VII
Floalt ZA-U d4-2234,Floalt ZA-U d4-2234 B,Star,M,3379.0,411764512.0,8.298996,0.433594,M,Va
Floalt MT-O d7-436,Floalt MT-O d7-436,Star,G,5560.0,760002688.0,4.804443,1.050781,G,Vab
Floalt BX-P a73-3,Floalt BX-P a73-3,Star,T,867.0,101773752.0,17.243927,0.046875,T,V
Floalt VR-U c19-1282,Floalt VR-U c19-1282,Star,G,5200.0,565242304.0,5.738312,0.789063,G,Vab
Floalt DH-K b42-166,Floalt DH-K b42-166,Star,M,2970.0,345691168.0,9.239365,0.347656,M,Va
Floalt QT-Q e5-801,Floalt QT-Q e5-801,Star,B,15587.0,1941978880.0,-1.711166,5.203125,B,Vz
Floalt QT-Q e5-801,Floalt QT-Q e5-801 10,Star,T,1177.0,129090288.0,15.399643,0.070313,T,Vz
Floalt QT-Q e5-801,Floalt QT-Q e5-801 9,Star,Y,551.0,76027864.0,19.846573,0.027344,Y,Vz
Floalt QT-Q e5-801,Floalt QT-Q e5-801 8,Star,T,760.0,105721592.0,17.733444,0.042969,T,Vz
Floalt QT-Q e5-801,Floalt QT-Q e5-801 5,Star,Y,607.0,71761640.0,19.551544,0.023438,Y,Vz
Floalt QT-Q e5-801,Floalt QT-Q e5-801 7,Star,T,836.0,98908376.0,17.464111,0.042969,T,Vz
Floalt LL-W a97-1,Floalt LL-W a97-1,Star,T,827.0,94684608.0,17.605927,0.042969,T,V
Floalt QT-Q e5-5904,Floalt QT-Q e5-5904 A,Star,N,915451.0,7777.34375,5.057831,2.199219,N,VII
Floalt QT-Q e5-5904,Floalt QT-Q e5-5904 AB 2,Star,T,1078.0,129090288.0,15.781311,0.070313,T,V
Floalt QT-Q e5-5904,Floalt QT-Q e5-5904 AB 1,Star,L,1379.0,174575408.0,14.055984,0.105469,L,V
Floalt QT-Q e5-5904,Floalt QT-Q e5-5904 B,Star,G,5517.0,705560576.0,4.999603,0.949219,G,Vab
Boerth EF-C c2-676,Boerth EF-C c2-676 A,Star,K,4993.0,526994880.0,6.066925,0.683594,K,Vab
Boerth EF-C c2-676,Boerth EF-C c2-676 B,Star,M,2933.0,375342432.0,9.115082,0.386719,M,Va
Boerth PC-B d1-1651,Boerth PC-B d1-1651,Star,N,6003173.0,10664.0625,4.507599,0.839844,N,VII
Boeths GB-O c9-1143,Boeths GB-O c9-1143,Star,K,4938.0,651203456.0,5.655426,0.796875,K,Va
Boeths UG-S d5-340,Boeths UG-S d5-340 A,Star,N,1051894.0,12187.5,5.158279,0.558594,N,VII
Boeths UG-S d5-340,Boeths UG-S d5-340 B,Star,M,2631.0,324911904.0,9.900482,0.257813,M,Va
Boeths HZ-M d8-4297,Boeths HZ-M d8-4297 A,Star,N,9826076.0,11082.03125,4.848663,0.742188,N,VII
Boeths HZ-M d8-4297,Boeths HZ-M d8-4297 B,Star,M,2904.0,326164160.0,9.463272,0.292969,M,Va
Boeths UW-X b48-40,Boeths UW-X b48-40,Star,M,3006.0,321324864.0,9.345779,0.34375,M,Va
Boeths HI-I c26-2381,Boeths HI-I c26-2381 A,Star,K,4739.0,661455104.0,5.800186,0.839844,K,Va
Boeths HI-I c26-2381,Boeths HI-I c26-2381 B,Star,K,4099.0,500718368.0,7.035095,0.558594,K,Va
Boeths EE-E d13-6999,Boeths EE-E d13-6999,Star,N,3764249.0,10890.625,4.978439,0.785156,N,VII
